사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202402,2호선,홍대입구,992,18,25339,3218,28403,14739,55435,33641,70249,94230,53606,113939,48989,101494,57385,128952,67292,158966,78952,170872,92635,166055,114685,165787,143454,172201,172052,188808,203352,217786,172408,161129,169376,94877,193336,74860,182632,60558,93012,42955,11562,15952,154,1885,0,8,0,0,20240303
202402,경의선,홍대입구,10,1,304,164,694,614,1188,1383,1515,5922,1018,5174,1141,4959,1289,4809,1886,6326,2337,6574,3083,6244,3579,5880,4669,5876,6041,6058,6866,6541,5622,4864,5160,2673,5736,2323,5299,1942,2333,1188,69,245,9,13,0,0,0,0,20240303
202402,공항철도 1호선,홍대입구,205,6,4407,397,4981,3353,9335,9047,13061,22734,10776,24720,11793,23083,13576,29246,16076,35501,18462,35907,21772,30891,26908,30580,33238,31197,40590,33161,45173,38934,37012,26493,34706,14213,38191,11437,32365,10328,14473,7657,1162,2422,30,51,7,7,0,0,20240303
202403,2호선,홍대입구,1256,41,28706,3643,32046,17703,63352,42069,81371,115129,65705,151791,60908,118291,68919,138479,80143,162839,93232,179237,104988,169551,130250,174668,164256,183536,192661,217711,218076,253940,185695,184053,183320,112411,212757,89270,203564,72914,104875,52254,12142,18572,4,2146,0,2,0,0,20240403
202403,경의선,홍대입구,10,1,353,200,869,667,1492,1844,1715,7315,1257,6505,1427,5416,1574,4853,2160,5452,2718,6577,3338,6088,3940,5940,5178,6581,6911,6793,7765,7634,6152,5539,5671,2991,6328,2688,6219,2168,2902,1427,105,337,0,0,0,0,0,0,20240403
202403,공항철도 1호선,홍대입구,283,19,5295,478,5713,3817,10903,11062,14750,26821,13719,29248,14697,24725,15795,29152,18032,33877,20546,35136,23267,30331,28113,31572,34929,33460,43365,36836,47106,43424,39237,29644,37290,16853,41295,13771,35593,12593,16041,9387,1411,3117,0,0,0,0,0,0,20240403
202404,2호선,홍대입구,1039,32,27186,3574,32820,19187,64879,44294,84061,119416,68322,148267,63784,114949,69269,126301,79036,143204,90867,158554,101882,146214,121832,151580,148246,162014,174838,195706,200173,240291,167878,180704,165899,114018,191734,92927,185245,77637,98761,53657,12929,19102,3,2232,0,0,0,0,20240503
202404,경의선,홍대입구,7,0,434,190,864,748,1493,2267,1665,7531,1659,6544,1555,5245,1601,4392,2208,5087,2759,5653,3341,5337,4052,5713,5039,6106,6685,6170,8047,7632,6041,5453,5691,3418,6495,3156,6329,2362,2977,1584,77,286,0,0,0,0,0,0,20240503
202404,공항철도 1호선,홍대입구,223,10,5582,539,6471,4237,11811,11734,15797,28487,14308,28821,15295,23743,16101,26827,17606,30388,19458,32067,22244,27873,27188,28327,32816,29649,39771,34039,44935,41780,37747,29721,35482,17388,39097,14350,34292,12890,16120,9665,1426,3107,0,1,0,0,0,0,20240503
202405,2호선,홍대입구,1129,24,31942,3858,33706,19834,63208,43832,82159,116759,66534,150553,62908,123072,70043,141804,83456,164121,97992,178801,109607,167810,133008,168933,165000,178879,190621,209911,213025,245928,177042,179839,179144,118242,207273,96102,200274,81477,105230,59995,14242,21542,11,2618,0,0,0,0,20240603
202405,경의선,홍대입구,3,0,504,240,943,822,1482,2325,1859,7445,1542,7280,1662,5650,1867,5411,2474,6052,2994,6846,3826,6426,4666,6182,5712,6754,7420,7327,8221,7630,6492,5717,6230,3537,7123,3265,6870,2385,3223,1701,92,307,0,5,0,0,0,0,20240603
202405,공항철도 1호선,홍대입구,281,19,6327,565,6853,4563,11627,11812,15442,28659,14412,31255,15277,26442,16724,30585,18589,34428,21829,36167,24869,30574,29598,30945,36505,32825,43433,36899,47774,42521,39494,30062,38714,17422,42065,14718,36697,13306,17814,10059,1521,3187,1,0,0,0,0,0,20240603
202406,2호선,홍대입구,1102,31,30795,3752,32199,19315,59334,40849,76258,106517,62885,129440,59429,113306,66729,132841,78333,155042,90754,169198,103012,160005,122705,161904,147152,173168,171249,199390,195805,229038,164537,165876,168814,110671,198064,93635,191740,75463,98253,52645,12130,19803,5,1998,0,0,0,0,20240703
202406,경의선,홍대입구,10,0,488,217,914,797,1395,2208,1688,6768,1467,5952,1465,4884,1598,4857,2193,5375,2671,5843,3280,5627,3808,5374,4816,5724,6583,6077,7196,6758,5836,4699,5755,3106,6700,2955,6457,2132,2987,1406,85,303,0,0,0,0,0,0,20240703
202406,공항철도 1호선,홍대입구,248,16,6374,583,6656,4351,11021,10802,14617,25978,13700,27883,14568,24330,15971,28160,17550,32569,20085,33796,22669,28945,26781,29453,32722,31469,39238,34524,44097,39681,36818,27284,36366,16686,40673,14128,35394,13034,16722,9896,1450,3304,0,0,0,0,0,0,20240703
202407,2호선,홍대입구,898,22,27298,3740,32242,19407,65571,43447,84775,117303,63272,138915,58699,117101,67348,142452,78723,166589,92682,180962,103105,171575,124991,170993,154965,178210,187583,204797,220504,245334,180490,176918,181553,110300,208778,87110,197719,73419,98639,51293,13291,18586,7,2278,0,0,0,0,20240803
202407,경의선,홍대입구,6,0,388,192,834,747,1528,2288,1757,7542,1415,6389,1397,4987,1590,4891,2226,5902,2737,6174,3136,5825,4078,5806,4832,6039,6733,6683,8338,7334,6320,5430,5901,2997,6966,2815,6625,2026,2848,1398,73,309,0,0,0,0,0,0,20240803
202407,공항철도 1호선,홍대입구,211,12,5666,489,6754,4506,12071,11267,15501,28536,13577,31133,14949,25708,16620,30294,18564,35235,21327,36880,23676,32069,29234,31270,35710,32903,44371,37469,50642,43704,40864,29693,38798,16648,42604,14146,36719,12882,16426,9694,1543,3266,0,0,0,0,0,0,20240803
202408,2호선,홍대입구,793,27,27023,3484,31119,19267,58233,39631,76076,105473,59497,124976,56946,115842,65501,143953,76602,165597,89684,177034,103230,167108,124563,168953,155186,177694,184254,203283,209940,237030,177769,172323,181751,110647,206812,86705,197850,73428,97936,49684,12129,18021,7,2097,0,0,0,0,20240903
202408,경의선,홍대입구,6,0,424,136,888,720,1400,2127,1672,6788,1310,5841,1417,4999,1558,5267,2123,6041,2668,6244,3230,5858,3912,5574,4677,5991,6538,6337,7954,7314,6224,4994,6320,3175,6744,2767,7002,1998,2962,1401,95,312,0,0,0,0,0,0,20240903
